Testimonials	Class	Abbreviated Name
We all are in agreement - we loved Glenn. Personable and very easy to follow. What a great experience. We did gain all we needed to know.	Advanced Excel 2007 Private Training	R. H. of Strategic Insight.
Thanks for asking for my feedback. Russ was a very good tutor. He covered the topics in the book and those of importance to us, which were not sometimes in the book. He was attentive to our needs and keep the class engaged through out the training. Overall, it was a good experience.	Flash Essentials 3 day Group Class 	K.O.
Joe was very knowledgable &, accessable. Listened. Made sure each student understood the material well. Patient. Explained everything well.	Dreamweaver Esentials 3Day Group Class	A.S.
I loved Paul! He was great, very friendly, very clear, dealt exactly with issues that would face my company. Between Arlene (client manager) and Paul, working with NYIM, as been amazing. Arlene was always quick to answer my emails and questions, and Paul was exactly what we needed. Being a small business owner I really appreciate good service.	QuickBooks private training	A.C.
The session with Joe was very useful, I now have a spreadsheet that not only works extremely well for my needs, but is also one I finally really understand.  :)	Excel for Business Class	D.C.
I don't even know what else Glenn could have done to make the class better - he was so on point and really interesting. Honestly, anyone who can make excel fun and interesting and make an 8 hour class feel like three deserves a medal and a raise!	Excel for Mac 2008 private training	L.P.
Scott is a very good communicator on going over the items on Photoshop	Advanced Excel for Business Group Class	T.Z.
Anthony had good sense of humor & was able to keep the class moving. Very hands on with the entire class. The class was fantastic.	Photoshop Esentials 2Day Group Class	J. T.
Glenn was excellent at moving through a lot of information while still stopping to make sure I understood. He was very good at conveying the information.	Excel 2003 for Business Group Class	D.E.
Mikelle was great so great! Upbeat and very insightful. I have taken these courses before and how she made the information realtive to what I am doing in the fashion industry was very helpful	InDesign Essentials Group Class	K.G.
I thought Scott was great. I would definitely take a class with him again.	Photoshop and Illustrator for Fashion Industry Private Training	M.R.
Glenn was an excellent instructor who used real life examples to make the class interesting and helped me follow along. I can't say enough good things about this class especially since I had no experience with Excel before this class.	Advanced PowerPoint 2003 for Business Group Class	S.S.
Thank you for the session! It was really helpful and I've learned a lot from Joe.	Excel for Business Group Class	N.N.
The instructor (Scott) was very professional, went at the right pace, and could answer almost any question that was asked.	Advanced Excel private training 	Rosetta.
Instructor (Anthony Jordan) was very good. He presented the concepts and demonstrated at the same time which was very effective. There was plenty of time to absorb and ask questions.	Excel for Business Group Class 	E.K.
She (Mikelle) was VERY helpful and knowledgable in all areas in the programs.	PowerPoint 2003 for Business Group Class	G.O.
Excellent instructor. I have had experience with excel instructors in the past where they were not fully confident with the program. I got the impression that Mr. Harris knew all aspects of the program.	Photoshop & Illustrator for the Fashion Industry private training	J.Y.
Paul was very precise and knowledgable, smart instructor and very well spoken.	Advanced Excel 2003 for Business Group Class	S.G.
He (Glenn) was great, knowledgeable and very approachable. He kept everyone up to speed without rushing or boring anyone.	QuickBooks for Bookkeeping Group Class	G.C.
He (Anthony Jordan) was absolutely wonderful. Very knowledgeable and clear!	InDesign Essentials Group Class	T.R.
The instructor Scott was terrific, he explained all information in a very clear manner and was available to answer all questions	Excel 2003 for Business Group Class	C.N.
Nhan Truong was really clear and great! You are lucky to have him.	Excel 2007 for Business Group Class	K.M.
Joe had a great attitude. Patient w/ lots of different personalities and skill sets. Willing to answer any questions that were asked	SPSS Essentials Group Class	R T. 
Anthony handled group very well - and addressed individual needs as they arose. Presentation was very straight- forward, comprehensive and easy to follow. Very personable and interested in our needs and progess as we went through each exercise.	Excel 2003 for Business Group Class	K.C.
Michelle is a great instructor, very patient.	Photoshop & Illustrator for the Fashion Industry Group Class	C.T.
Joy is a fantastic PowerPoint instructor. She understands how people learn and adjusts the pace of the class to various learning styles. She is extremely patient.	PowerPoint for Business Group Class	J.D.
Instructor: Scott He is very knowledgeable about the subject. Very intuitive regarding the students' questions and learning styles.	PowerPoint 2003 for Business Group Class	J.S.
The instructor (Anthony) was very on point and was able to answer all questions that were posed to him. He was able to bring a great friendly personality to the classroom that made us students feel at ease. He also explained things in an comprehensive manner. Excellent Teacher!!	Excel 2007 for Business Group Class	J.W.
Joy Hoffman was an excellent teacher. I really appreciated her patience and thorough explaination of things. I esp like her because she was extremely patient, kind and very much willing to take out the time and explain without making the student feel horrible.	Dreamweaver Essentials Group Class	H.R.
Glenn was very willing to help answers all of our questions and stressed that he would be avaiable beyond the class as well.	InDesign Essentials Group Class	M.M.
Hi Mary, This is Robert Santry and I am a financial professional here in New York. I attended the Advanced Excel for Business class taught by Glenn Harris. I had recently taken an excel class hosted by another computer training firm and there was really no comparison in the level of expertise that I received through NYIM. Also, Glenn was available to follow up after class with any questions that I had covering class material. Also, he agreed to meet with me after class at my location as well, to assist in various implementations of the material that we covered in class. I was really impressed by his depth of knowledge concerning the material and his willingness to meet after class and make sure what we learned was indelibly imprinted in my excel skill set! I am sure he is an invaluable asset to your firm and to the people who take his class. Kind Regards,	Advanced Excel for Business Group Class 	R.S.
Joy Hoffman was an excellent instructor. She delivered the material in clear succinct ways. She had a great sense of humor and kept the class upbeat even when we were dragging in the afternoon. She helped us to see how much we had learned by reminding us where we had been just the day before. She handled the differences between skill levels of the various participants very well.	Dreamweavers Essentials Group Class	N.E.
The instructor was excellent - very knowledgeable, helpful, enthusiastic and a very good presenter of information.	Excel 2003 for Business Group Class	A.S.
Fantastic instructor. very knowledgeable, and kind. This course is going to be very helpful to me. I would highly recommend this school and instructor to others. Courteous and professional.	PowerPoint 2003 for Business Group Class	J.S.
He is very kind, and patient. All day excel course can be boring, but it was exciting, and I learned a lot of things I can apply to work.	Advanced Excel for Business Group Class	J.C.
The instructor was great. He used the available class time wisely and taught at a reasonable pace.	InDesign Essentials Group Class	M.M.
It was like a very condensed tin of soup - and thick in content, its full benefit is only revealed when you take time afterwards to dilute what you heard by practice, practice, practice. Like all food it has a use-by date, but I have never felt so inclined to put time aside as after this course. To continue the food analogy, it was a healthy and sustaining meal and chef Dan deserves a couple of stars and an accolade.	Photoshop Essentials 3 Day Group Class	R.L.
Scott kept the class interesting, was very responsive to and thorough about answering questions, and I learned a lot. Thanks Scott!	PowerPoint 2003 for Business Group Class	K.T.
Joy has a great style of teaching. She has a lot of patience and has a wealth of knowledge. I really enjoyed learning here.	Dreamweaver Essentials 3 Day Group Class	M.M.
The instructor certainly LOVES what he does! Paul's personality and teaching skills are absolutely enjoyable!	PowerPoint 2003 for Business Group Class	C.N.
I was in one of the basic Illustrator classes and found Mikelle to be knowledgeable, prompt to answer any of my questions and she was actually well versed in the subject. I had taken Illustrator classes previously and I think besides knowing the subject, she has the ability to teach it, especially since the classes were geared to flat sketching for the garment industry. I recommend her highly for basic Illustrator.	Illustrator for the Fashion Industry Private Training	Gustavo of Jones apparel Group
Mikelle has great patience and great practical knowledge! I appreciated her making each project applicable to the fashion industry.	Photoshop & Illustrator for the Fashion Industry Group Class	K.Z.
Joe really presents the material in a way that facilitates learning. It is an easy- going and organized environment that focused on our specific needs. ,Marks	 Paneth and Shron	 training for received Marks
Joy ran an excellent program. Our attendees were diverse in their jobs, skill levels, and training needs. This made for an agenda that covered a spectrum of topics from beginner to advanced. Joy moved at just the right pace and got through everything and then some. I would definitely have her come back for our other learning needs Joy was a wonderful teacher that really covered and answered all our question in a timely manner that covered all of our course outline.	 PowerPoint Class for Deloitte & Touche	Deloitte
I use excel everyday but I still learned new tips and shortcuts that I didnt know.	Excel 2003 for Business	M.S.
Joy has great energy and a depth of knowledge which made the class accessible and enjoyable.	Excel 2003 for Business Group Class	D.B.
Another great class with Joy. She's a great instructor. Great communicator; keeps class lively.	Advanced PowerPoint for Business Group Class	D.R.
Joe=great.This is my second class at NYIM with Joe and I'd recommend both the Flash and Dreamweaver classes to anyone serious about learning the basic (and not so basic) skills to start you off and running.	Flash Essentials Group Class	D.C.
The class was helpful, because the instructor kept the pace of the class moving. And she took time to help us to catch up the rest of the class.	Advanced Excel for Business Group Class	N.A.
Good speed, good explanations, practical applications of tools.	Advanced Excel for Business Group Class	D.P.
Joe is friendly, patient, knowledgeable, and professional. He makes sure to answer every question in detail. The classes are well organized and the material is presented in a way that is easy to understand. I highly recommend NYIM and Joe for Flash training. The insight I have gained here will certainly help me excel back at the office. Thanks NYIM!	Flash Essentials Group Class	S.M.
The instructor was very energetic, positive, engaging, patient and knowledgeable . Breaks down complex information into basic forms for easy comprehension.	Excel for Business Group Class	P.S.
Great class. Glenn was terrific as far as pace, instruction, and practice. There was also a good flow of questions and answers.	Advanced Excel for Business Group Class	P.G.
Instructor {Anthony Jordan} was EXCELLENT - knowledgeable, patient, friendly.	PowerPoint for Business Group Class	S.I.
Mikelle is very knowledgable and incredibly patient. Never makes you feel small or stupid. She was great!	Photoshop/Illustrator for the Fashion Industry Group Class	K.L.
Joy was great! I thought I would be sitting through a dull day in front of the computer, but Joy's energy and clear explanation kept my brain aware throughout the day. Really, did not expect excel to be that cool. Kudos, Joy.	Excel for Business Group Class	E.F.
Instructor was EXCELLENT. Moved at a perfect pace, really kept our attention. Obviously a very experienced teacher. Was very good at holding our attention and keeping each topic interesting! I would definitely like to take other courses from him.	Excel for Business Group Class	D.N.
I thought I'd take the opportunity to let you know that in all my 30 years with PM (Philip Morris) and all the training and development classes I have taken, Joy Hoffman is the best teacher!	Corporate Training	J.D.of Philip Morris
Joy is a great asset to NYIM. All- around fantastic instructor.	Dreamweaver Essentials Group Class	C.C.
I felt Glenn was very knowledgeable and was willing to tailor the class to our questions. It was a very productive set of sessions.	Advanced Excel for Business Group Class	K.H.
He's made the class interesting and not boring using easy ways to get our attention. The methods he used in class I can remember when I'm using excel at work. He's a very nice teacher. All the best to you. Thank you.	Excel for Business Group Class	S.E.
The instructor was very good. He was extremely clear with his explanations and made things simple and easy to understand. His pace was very good and his knowledge was extensive on the material.	PowerPoint Corporate Training	M.S.
oy was wonderful! Super knowledgeable and personable, friendly and fun! I would love to take another class with her. If all teachers here are like her, I would	Dreamweaver Essentials Group Class	A.L
Glenn was really great. He had a sense of where everyone was in the class and adjusted his methods accordingly. I think he's such a great teacher, I'd love to take the advanced class if this is something he teaches. Thanks Glenn!	Excel 2003 Group Class 	T.O.
Excellent instructor. Was very upbeat and kept the class interested. very knowledgeable about excel. Learned a lot of new tricks to increase efficiency.	Advanced Excel for Business Group Class	J.G.
Joe is highly skilled in his area of expertise, and was a joy to work with.	PowerPoint Corporate Training	A.B.
He was a great instructor and I am glad i took this class. He taught the class very well and very clearly.	Excel for Business Group Class	L.G.
Instructor (Glenn) was enthusiastic and very knowledgeable. Encouraged asking questions and didn't move on until everyone understood material. He was great!	Excel for Business Group Class	A.L
My second class with this instructor and I was pleased to have him (Anthony) again. Very entertaining, knowledgable and an excellent teacher with patience.	PowerPoint for Business Group Class	B.S.
This is my second time around and I still think Paul is great.	QuickBooks Fundamentals Group Class	J.W.
Excellent instructor (JOY). This is my RETAKE and I specifically waited for her since she's knowledgable, patient and easy to follow - she's excellent at knowing technology software AND teaching - a great combo!	Excel for Business Group Class	G.C.
I will always recommend NYIM to everyone I know and meet who is looking for a great place to get the computer skills they need! I've taken classes elsewhere and they cannot compare.	Photoshop/Illustrator for the Fashion Industry Group Class	P.W.
I enjoyed my excel class so much that I was very interested in the powerpoint. I would also consider coming back for the photoshop.	PowerPoint for Business Group Class	M.V.
Joy was very effective, paced the class and was very responsive. Did a good job of identifying specific needs and checking back to be sure they were addressed.	Excel for Business Group Class	B.H.
I was recently in the last illustrator/photoshop class. It was a very good class and I wanted to commend Mikelle for being such a great teacher! I learned so much in such a short amount of time. She takes the time to really make sure that each student understood the programs and how to use them effectively.	Photoshop/Illustrator for the Fashion Industry Group Class	D.C.
Joy was just wonderful, I never had a better computer teacher.	Excel for Business Group Class	A.S.
I thought she (Joy) was very informative and also very easy to learn from. She made something that was challenging much more easy to manage.	Excel for Business Group Class	M.V.
Glenn Harris is a good instructor.  He does an excellent prsentation and makes the course very interesting. He is very observant to see if you're having a problem to be right behind you.	Excel for Business Group Class	E.H.
Dan was a really great teacher. He was trying to cover a lot of ground. He was very patient and thorough,especially with questions. He explained large, varied and complex material in an understandable way. Very nice guy.	Photoshop Essentials Group Class	J.H.
The instructor was very helpful and kind and seemed to go at a pace acceptable for the whole class.  He was also very friendly and approachable.  I liked how he also called me out (but in a non offensive way) about doing work in class.  :- )  He seems direct and honest which is appreciated.	Excel for Business Group Class	B.U.
I recently took Photoshop Essentials and the instructor Dan was incredibly knowlegeable, patient and passionate about the program and enthused the students.  I would definitely recommend this instructor and class to others.	Photoshop Essentials Group Class	M.M.
Anthony Jordan is wonderful and makes the class go by so quickly. I don't care what you pay him, you should give him a raise.  It takes a really special person to make a three hour class that you take after work immensely fun and he did it.	PowerPoint for Business Group Class	M.S.
Joy Hoffman was very fun and energetic. Her passion for the subject is obvious and infectious.	Excel for Business Group Class	J.C.
Very knowledgeable and patient.  Like her real- world analysis or references to bring points across.  Also loved her suggestions on what animation and transition options to use for my legal research environment.	PowerPoint for Business Group Class	K.W.A.
Glen has total comand of his class; He is articlate, his delivery is easy and and he take his time with each student who may need some attention in a specific area. He is a very good teacher.	Excel for Business Group Class	C.F.
Glenn really knows his stuff! Lively attitude kept things interesting when otherwise would have been dry learning.	Advanced Excel for Business Group Class	V.B.
Joe has a full comprehensive knowledge of the subject. Answered any questions, kept class alert.	Dreamweaver Essentials Group Class	A.K.
Very nice guy, Paul makes it very easy to learn without being too slow or too boring.	Quickbooks Essentials Group Class	J.W.
Joy was very knowledgeable, very friendly, and very helpful.  Great teacher.  Great Class- catered to everyone.	PowerPoint for Business Group Class	M.C.
Anthony Jordan is a FABULOUS professor! He made sure that each of us understood what he was teaching before moving on to the next subject. He was very patient and had a good sense of humor which made the six hours go by quickly. I would highly recommend him as a professor!	Excel for Business Group Class	M.S.
Joe is endlessly patient.  He says things over and over to make sure we've got it!  I first took the class in July.  I think this time it was much more clear.  His organization of the material  was great the first time, but is even better now. He really keeps things moving well, and manages to cover an unbelievable amount of material.  At the same time, he only teaches what we really need to know instead of all sorts of extraneous stuff.	Dreamweaver Essentials Group Class	R.P.
Joe is awesome. he makes sure everyone understands something before he goes onto the next Section. A very personable person with great knowledge of his teachings.	Flash Essentials Group Class	M.F.
The instructor made class an easy learning enviorment. I would reccomend him to other students looking to gain Excel experience.	Excel for Business Group Class	R.K.
I thought that Glenn was EXCELLENT at teaching PowerPoint.  He was patient, knowledgeable, and very clear in his instruction and explanation of the program.	PowerPoint for Business Group Class	NA.
Instructor was very nice and understanding. Very patient. Willing to answer any questions.	Excel for Business Group Class	M.K.
Thanks so much! The class was extremely helpful and well- worth the money! I hope to be taking a class in Illustrator next. I can't wait!	InDesign Group Class 	J.D.
Thank you.	Dreamweaver	D.D.
The instructor was wonderful and understanding. He really wanted to see everyone achieve all they could.	Excel for Business Group Class 	E.S.
My instructor, Glenn Harris was an excellent teacher. The pace was not too fast nor too slow. He was easy to understand and was extremely thorough. I would highly recommend Glenn to other students.	InDesign Essentials Group Class	K.W.
The instructor was very helpful, stopped when anyone needed help, and checked to make sure we were all on the same page.  He acknowledged when we did a good job.  Very good instructor. Will definitely take additional classes with him again!!!	Photoshop Essentials Group Class 	D.V.
Every section was useful. Joy was immensely helpful. She is a very knowledgable instructor. I've taken Excel classes before, and she is by far the best instructor I've had.	Excel for Business Group Class	S.F.
Joe was great - he was patient with our questions, and really covered everything we asked about. He helped to ensure we understood what we were learning.	Flash Essentials Group Class	K.L.
The instructor was fantastic! He was really good at not only explaining the concepts but at keeping track of what we were doing and where we might have gone wrong. Also, the customized pacing of the class, and to some extent customized content, was very helpful. All in all, this class exceeded my expectations; I did not think I would really learn as much because I usually get lost whenever I've taken computer training courses in the past. Thank you!	Advanced Excel for Business Group Class	S.R.
I have never met a person like Joe who is so in- depth & knowledgeable. He is like the Einstein of PowerPoint. His communication & creativity skills are all excellent. Joe is the man!	Advanced PowerPoint for Business Group Class	J.C.M.
Amazing. GREAT attitude every class. Always started/finished on time even if we were asking a ton of questions. Kept applying the information to our individual needs vs. generalization. If this hadn't been done the class would have been MUCH less useful to me for handbags because I couldn't have made the connections myself and keep pace with the class.	Photoshop/Illustrator for the Fashion Industry Group Class	T.S.
Joy was extremely thourough and patient. She spoke clear and upbeat. If only I had teachers in college that could keep my attention all day talking about excel!	Excel	C.P.
Our instructor Glenn Harris was excellent and should be praised for his hard work and excellent presentation.	Advanced Excel for Business Group Class	J.M.
Dan was great!  Knowledgeable, professional and concise.  A great trainer who has a gift for relevant imparting techniques, tips and correlating personal experience to the learning material. Passionate about this class. Thank you.	Photoshop Essentials Group Class 	E.G.
Dynamic person, very helpful and always has the answer to questions; demonstrates every step fully. Very knowledgeable and very patient.	Dreamweaver Essentials Group Class	W.B.
Glenn was an excellent instructor. Very thorough, very clear, and very attentive to the students if they ran into any problems. I found him very easy to follow, and feel like I learned a lot of material.	InDesign Essentials Group Class 	J.J.
Anthony was very knowledgeable and enthusiastic about the subject which made the class interesting and not boring!	Excel for Business Group Class 	J.S.
Thank you Joe for taking the time to deal with our personal Excel issues outside the normal class agenda.	Advanced Excel for Business Group Class	K.C.
Joy is an excellent teacher. This is my first class and I am very impressed and plan on signing up for more classes. You are lucky she represents your company. Joy is a Master and a professional!	PowerPoint for Business Group Class	E.C.
Teacher was great! i was very involved and she was engaging and very informative. answered all my questions well and was good at communicating the lessons. I learned a lot!	Dreamweaver Essentials Group Class 	C.R.
Mikelle was a great teacher. She was wonderful, articulate and her instruction in the classroom was easy to follow. She gave help when needed and was very generous in helping us if we had problems with our homework. I would love to have her again for a teacher.	Photoshop/Illustrator for the Fashion Industry Group Class	R.L.
Glenn Harris is an excellent instructor. He is very knowledgable and provides valid examples. I would recommend this course to anyone interested in improving their Excel skills.	Excel for Business Group Class 	G.A.
Mary, I very much enjoyed Glenn's class that I took last Friday (Feb. 9). He is a good, fast presenter of the material, but is willing to slow down to answer questions as they arise. I significantly expanded my knowledge of this powerful tool system, especially in the area of formulas and validation of input.	Advanced Excel for Business Group Class	R.P.
Joe is a fantastic instructor. He knows the program intimately, he has a unique talent for keeping everyone on the same page, and he answers every question.	Flash Essentials Group Class	R.K.
Eric Ellison is a world of knowledge. His ability to communicate and translate the computer phrases to layman terms was the best I have seen in all my years of being an Instructor as well. This Class is going to enhance my skills in powerpoint presenting and also be able to communicate better to my audience. My hat goes off to Eric.	Excel for Business Group Class	A.D.
Hi Glenn, just wanted to thank you for helping me out today with the In Design, it went really well and I appreciate your patience. I feel much more comfortable going forward. Thanks so much and have a great holiday!	Private Training in InDesign 	C.J.
Mikelle was great. She was very knowledgeable and helpful. She gave great insight on how things would apply in an actual situation.	PhotoShop & Illustrator for Fashion Group Class 	J.B.
I think the instructor was great at making adjustments for the different levels that were in the class. She gave little extra things to those who knew more, and paid attention to those who knew less so they didn't get left behind.	Excel for Business Group Class	L.D.
He was very knowledgable and able to answer all questions, as well as be patient with all levels of learning within the class.	PowerPoint for Business 	J.S.
Our instructor was the best I've had for a computer class. She was extremely attentive to each individual and the class surpassed my expectations. I am now confident that we will be able to make the most out of Indesign.	InDesign Fundamentals Group Class 	M.M.
She was great, very patient, and she explained everything very clearly. She even had paitience to explain things over and over. I came in here scared to use illustrator and photoshop and I feel much better about it. I feel that now I can go and work in a company and, I am going to try to use her advice of practice, practice, practice!	Photoshop/Illustrator for the Fashion Industry Group Class	C.O.
Joy paced the class perfectly for the population and communicated the technology extremely well.	Excel for Business Group Class 	B.U.
Kathi was very helpful and thorough. She took her time in explaining different parts in detail and answering all questions in a very comprehensible manner.	Photoshop Essentials Group Class	M.P.
I did enjoy Joy's enthusiasm. She was great.  For a class of this calibur, you need a dynamic trainer.  She had great patience with a slow student.	Advanced Excel for Business Group Class	A.W.
Amazing teacher. Knew how to take the class through, step by step and very clearly. She was also very helpful and always able to answer questions whether it was in class or through e-dash; mails.	Photoshop/Illustrator for the Fashion Industry Group Class	K.F.
Great instructor, very nice and helpful.  Class was run in an efficient manner but there was always an opportunity to ask questions. I really enjoyed the class and all that I learned!	Advanced PowerPoint for Business Group Class	R.B.
One of the best teachers I have ever had!	Quickbooks Essentials Group Class	D.S.
Terrific, very informative, well paced, and well knowledged in this field. He has a great love and interest for it and in teaching the subject.	Quickbooks Essentials Group Class	D.D.
Mikelle is a great teacher. She explains everything very clearly, it very attentive to all the students specific needs. She is also enthusiastic and has career advice to offer. She is one of the best teachers I have had (I'm not kidding, and I went to Pratt).	Photoshop/Illustrator for the Fashion Industry Group Class	R.B.
Very knowledgable and concious of people who are ahead and behind. She took the time to give me some advanced stuff while also making sure less experienced students knew what to do.	Excel for Business Group Class	P.M.
Eric is a fun instructor that likes to teach us by constant practice and creating new presentations, etc.	PowerPoint for Business Group Class	L.O.
The lessons were presented and a very clear fashion - I feth he was articulate and was on top of his craft.	Dreamweaver Essentials Group Class	A.D.
Joy is an awesome teacher. Her teaching methods are clear, and I love the short- cuts. This is my second time with Joy, and she is my favorite so far.	Excel for Business Group Class	L.O.
Very articulate. Cares that we understand. Listens to what we do need to know, and what we don't and modifies what he teaches accordingly. Makes himself available by email.	Quickbooks Fundamentals Group Class	F.D.
Joy was great, very friendly and a great teacher. She was very patient with all of us and was able to answer all of our questions.	Excel for Business Group Class	E.C.
Eric was wonderfully engagine, funny, and informative. He made it feel like we weren't in a classroom situation....it was comfortable.	PowerPoint for Business Group Class	M.S.
Joy was great very patient and wanted us to learn this software	Excel for Business Group Class	D.T.
Joe was brilliant. Very informative and took the time to answer questions.	Advanced Excel for Business Group Class	L.D.
Glenn Harris was great. It has been a long time that I've such an excellent teacher who was able to keep me in line with learning that I don't wander off(I do most of the time). Thanks!	Advanced Excel for Business Group Class	M.C.
I really liked the way Eric taught; he put us at ease and had a laidback way of teaching. It seemed things were moving slow but I realized that what was happening was that I was learning every single thing he was teaching, in a really relaxed way - a very refreshing way to learn. Eric was also very patient and kind, and obviously knew a LOT about PowerPoint and computers in general.	PowerPoint for Business Group Class	D.H.
Excellent instruction, professional and understanding of students needs!	Excel for Business Group Class	H.K.
I thought he was EXTREMELY patient and tolerant of my many redundant/silly questions. Couldn't ask for more!!!	Flash Essentials Group Class	S.F.
Joy is super!	Excel & PowerPoint for Business Group Class	K.P.
Joe has to be one of the best and coolest instructors I've had in years. Very patient and moved at a great pace. Joe made this class a true learning experience.	Photoshop Essentials Group Class	M.E.
The instructor made sure everyone in the class was following each point he made. He seemed to have a full knowledge of excel and didn't hesitate to answer questions.	Excel for Business Group Class	M.P.
Mikelle has been the best instructor I've ever had in teaching me illustrator. She makes it so easy to understand & makes it fun to learn. She is excellent at teaching this class.	Photoshop/Illustrator for the Fashion Industry Group Class 	L.N.
Hi Mary: I have been meaning to email/call you but I have been so busy that I have not been able to do so until now. I just want to thank you so much. Working with Paul was wonderful. He is a great instructor. I walked away happily, knowing how to prepare a presentation..... Thanks again,	PowerPoint Group & Private Training 	A.B.
I finished the course last night with Eric. I wanted to tell you that he is a great instructor. He engages, entertains and is very thorough in his approach to the outline. He is an asset to your center. Thank you. Regards,	PowerPoint for Business Group Class	R.M.
Joy is very well spoken, clear and knowledgeble. I enjoyed her class and I would recommend her to others.	Excel for Business Group Class	G.K.
Eric was more then helpful, cheery, knowledeable and compassionate.	Excel for Business Group Class	L.P.
Eric really was awesome. Kept everyone's attention...didn't let anyone fall too far behind...communicated extremely well	Excel for Business Group Class 	D.G.
Joe was clear and used the right terms when giving instruction. I find that verbal cues are often the biggest hurdle when talking about operating a computer: click on the box that does that again is the kind of thing that doesn't work, and something Joe avoided well.	Advanced Excel for Business Group Class	T.S.
Personable, knowledgeable, patient, excellent!	PowerPoint for Business Group Class	E.S.
Joe is fantastic!! He is also very knowledgeable when answering questions. A pro.	Photoshop Essentials Group Class	C.V.
As an industry professional with work experience within the most famous companies both domestically and internationally, I am sure that Phoenix 's teachings will give the student the complete preparation in order to comfortably satisfy the computer skills required for most fashion industry jobs.	Photoshop and Illustrator for the Fashion Industry Group Class 	Luca
Hi Joe, I just wanted to write and say hi and THANK YOU. So Nai and I have been in touch and I interviewed a couple of rounds at Macys and I am now freelancing for a month there. If it works out I think they are going to hire me full time! We shall see but it's really exciting. I thought it would be good advertising for you to be able to say that by taking your classes I not only learned enough to hold my own on illustrator... but I got a job as well! The classes really helped me and I learned a lot. Both Phoenix & Mikelle were great but I think Mikelle's class was definitely more structured and she was a little more knowledgeable about what skills are necessary on the job. I learned a lot of helpful tips. Anyway, I just wanted to thank you for putting me in touch with Nai and for offering the Illustrator/Photoshop classes. Have a great day,	Photoshop/Illustrator for the Fashion Industry Group Class 	J.O.
Joe was great and Outlook training is really helping me at my new job. Learned little things about Outlook that I never used and was able to jump right into things at my new job and use them every day. Thanks again!	Dreamweaver Private Training 	M.L.
Very clear and kind. Practical knowledge. Clearly loves #s.	PowerPoint for Business and Excel for Business Group Classes	J.K.
Kathi was able to pace the instructions so that I could really get a handle on the essence of what Quark is all about. She also was very practical in her approach so that I could adapt it to my needs at our agency.	Quickbooks Essentials Group Class	J.C.
